id	title	url	status	description
T01	Flow Network based Generative Models for Non-Iterative Diverse Candidate Generation	https://proceedings.neurips.cc/paper/2021/hash/e614f646836aaed9f89ce58e837e2310-Abstract.html	NeurIPS 2021	GFlowNet 的原始论文，用 DAG 上的流匹配把终止对象的采样概率训练成与奖励成比例，并以分子设计和主动学习说明“多样高奖励采样”不同于最大化奖励。阅读重点是 flow matching、合流路径和摊销生成的最初动机。
T02	GFlowNet Foundations	https://jmlr.org/papers/v24/22-0364.html	JMLR 2023	建立 Markovian flow、state/edge/trajectory flow、前向与后向策略、reward matching 等统一数学框架，并系统说明 FM、DB 等约束为何导出正确终止分布。它也是理解内部流非唯一性、条件 GFN 和后续 OT 连接的核心理论起点。
T03	Trajectory Balance: Improved Credit Assignment in GFlowNets	https://proceedings.neurips.cc/paper_files/paper/2022/hash/27b51baca8377a0cf109f6ecc15a0f70-Abstract.html	NeurIPS 2022	提出轨迹级恒等式，将一条完整构造路径上的前向概率、后向概率、配分函数 \(Z\) 和终点奖励联系起来。TB 缩短信号传播路径，但也引入长轨迹乘积、方差和 \(Z\) 估计等训练问题。
T04	Generative Flow Networks for Discrete Probabilistic Modeling	https://proceedings.mlr.press/v162/zhang22v.html	ICML 2022	从离散概率建模角度研究 Markov flow 的参数化和学习，澄清多条生成路径如何共同决定对象概率及其熵结构。适合在 Foundations 之后补足 GFlowNet 作为离散生成模型的统计视角。
T05	Learning GFlowNets from Partial Episodes for Improved Convergence and Stability	https://proceedings.mlr.press/v202/madan23a.html	ICML 2023	提出 Subtrajectory Balance，用任意子轨迹上的 balance 约束连接一步 DB 与完整 TB，并用 \(\lambda\) 控制信用分配尺度。它是理解 GFlowNet loss 的偏差—方差、局部—全局监督折中的关键论文。
T06	Better Training of GFlowNets with Local Credit and Incomplete Trajectories	https://proceedings.mlr.press/v202/pan23c.html	ICML 2023	利用中间状态的局部能量或奖励信息，并允许从不完整轨迹学习，从而缓解只有终点奖励时的稀疏信用问题。论文的价值在于展示如何把领域可分解结构转化为训练信号。
T07	Towards Understanding and Improving GFlowNet Training	https://proceedings.mlr.press/v202/shen23a.html	ICML 2023	系统研究有限训练下 loss、终止分布误差和内部流之间的鸿沟，指出常用目标可能在欠拟合、稀疏奖励和长轨迹环境中产生误导。论文还提出 PRT、SSR、GTB 等改进，是从“零损失理论”走向实际训练诊断的必读工作。
T08	GFlowNets and Variational Inference	https://openreview.net/forum?id=uKiE0VIluA-	ICLR 2023	比较 GFlowNet 与层次变分推断，说明特定条件下两者梯度估计之间的联系，同时强调采样分布、后向策略和 off-policy 数据会造成实质差异。它能防止把 GFN 和 VI 过度简化为无条件等价。
T09	A Variational Perspective on Generative Flow Networks	https://openreview.net/forum?id=AZ4GobeSLq	TMLR 2023	在轨迹空间中构造前向与反向分布，并用 KL 目标统一解释 TB 及若干 GFlowNet 训练规则。阅读时要区分“对象边缘分布正确”与“选定的轨迹分布匹配”这两个层次。
T10	GFlowNet-EM for Learning Compositional Latent Variable Models	https://proceedings.mlr.press/v202/hu23c.html	ICML 2023	把 GFlowNet 用作组合离散潜变量的摊销后验，并嵌入 EM 式参数学习循环。它展示了 GFN 不仅能做候选发现，也能服务于结构化潜变量模型中的后验推断。
T11	Generative Flow Networks: A Markov Chain Perspective	https://arxiv.org/abs/2307.01422	预印本 2023	用 Markov chain 的语言重新表述 GFlowNet，帮助连接平稳分布、路径测度和循环状态空间。其主要价值是概念统一；使用其中等价关系时仍应逐项检查吸收性和边界条件。
T12	A Theory of Continuous Generative Flow Networks	https://proceedings.mlr.press/v202/lahlou23a.html	ICML 2023	将离散 DAG 上的流守恒推广到一般测度空间，处理连续及混合状态、可测流和密度等问题。它是研究连续动作、几何对象以及连续 GFlowNet–OT 扩展的理论入口。
T13	Stochastic Generative Flow Networks	https://proceedings.mlr.press/v216/pan23a.html	UAI 2023	把环境转移本身具有随机性的情况纳入 GFlowNet，而不是假设动作唯一决定下一状态。该工作适合研究实验结果不确定、随机模拟器或带噪科学发现任务。
T14	Generative Flow Networks as Entropy-Regularized RL	https://proceedings.mlr.press/v238/tiapkin24a.html	AISTATS 2024	将 GFlowNet 写成特定的最大熵强化学习问题，连接 soft value、policy consistency 和 reward-proportional sampling。它为复用 RL 优化工具提供接口，但不能据此忽略多路径奖励校正。
T15	Discrete Probabilistic Inference as Control in Multi-path Environments	https://proceedings.mlr.press/v244/deleu24a.html	UAI 2024	从控制角度推导离散概率推断，明确多路径结构中必须怎样校正奖励才能得到目标对象分布。论文有助于理解 GFlowNet、最大熵控制和普通“按终点奖励做 RL”的差别。
T16	GFlowNet Training by Policy Gradients	https://proceedings.mlr.press/v235/niu24c.html	ICML 2024	提出用 policy-gradient 形式训练 GFlowNet，并讨论前向与后向策略的联合设计。它拓宽了回归式 balance loss 之外的优化接口，适合与 PPO、actor–critic 路线对照。
